티커,종목,ISIN,시장
178920,PI첨단소재,KR7178920005,STK
001340,PKC,KR7001340009,STK
024940,PN풍년,KR7024940009,KSQ
005490,POSCO홀딩스,KR7005490008,STK
332570,PS일렉트로닉스,KR7332570001,KSQ
218410,RFHIC,KR7218410009,KSQ
327260,RF머트리얼즈,KR7327260006,KSQ
474610,RF시스템즈,KR7474610003,KSQ
091340,S&K폴리텍,KR7091340000,KSQ
010950,S-Oil,KR7010950004,STK
010955,S-Oil우,KR7010951002,STK
419530,SAMG엔터,KR7419530001,KSQ
019550,SBI인베스트먼트,KR7019550003,KSQ
034120,SBS,KR7034120006,STK
003080,SB성보,KR7003080009,STK
246960,SCL사이언스,KR7246960009,KSQ
099220,SDN,KR7099220006,KSQ
056190,SFA,KR7056190002,KSQ
222080,SFA넥셀,KR7222080004,KSQ
036540,SFA반도체,KR7036540003,KSQ
255220,SG,KR7255220006,KSQ
040610,SG&G,KR7040610008,KSQ
184230,SGA솔루션즈,KR7184230001,KSQ
016250,SGC E&C,KR7016250003,KSQ
005090,SGC에너지,KR7005090006,STK
001380,SG글로벌,KR7001380005,STK
004060,SG세계물산,KR7004060000,STK
001770,SHD,KR7001770007,STK
002360,SH에너지화학,KR7002360006,STK
009160,SIMPAC,KR7009160003,STK
033530,SJG세종,KR7033530007,STK
123700,SJM,KR7123700007,STK
025530,SJM홀딩스,KR7025530007,STK
034730,SK,KR7034730002,STK
357880,SKAI,KR7357880004,KSQ
011790,SKC,KR7011790003,STK
018670,SK가스,KR7018670000,STK
001740,SK네트웍스,KR7001740000,STK
006120,SK디스커버리,KR7006120000,STK
006125,SK디스커버리우,KR7006121008,STK
210980,SK디앤디,KR7210980009,STK
395400,SK리츠,KR7395400005,STK
302440,SK바이오사이언스,KR7302440003,STK
326030,SK바이오팜,KR7326030004,STK
402340,SK스퀘어,KR7402340004,STK
260870,SK시그넷,KR7260870001,KNX
361610,SK아이이테크놀로지,KR7361610009,STK
100090,SK오션플랜트,KR7100090000,STK
03473K,SK우,KR703473K016,STK
096770,SK이노베이션,KR7096770003,STK
096775,SK이노베이션우,KR7096771001,STK
475150,SK이터닉스,KR7475150009,STK
001510,SK증권,KR7001510007,STK
001515,SK증권우,KR7001511005,STK
285130,SK케미칼,KR7285130001,STK
28513K,SK케미칼우,KR728513K010,STK
017670,SK텔레콤,KR7017670001,STK
000660,SK하이닉스,KR7000660001,STK
048550,SM C&C,KR7048550008,KSQ
063440,SM Life Design,KR7063440002,KSQ
003570,SNT다이내믹스,KR7003570009,STK
064960,SNT모티브,KR7064960008,STK
100840,SNT에너지,KR7100840008,STK
036530,SNT홀딩스,KR7036530004,STK
067160,SOOP,KR7067160002,KSQ
000390,SP삼화,KR7000390005,STK
011810,STX,KR7011810009,STK
465770,STX그린로지스,KR7465770006,STK
077970,STX엔진,KR7077970002,STK
002820,SUN&L,KR7002820009,STK
